Rank,Player,Position,Team
1,Sidney Crosby,C,Pittsburgh Penguins
2,Connor McDavid,C,Edmonton Oilers
3,Alex Ovechkin,LW,Washington Capitals
4,Erik Karlsson,D,Ottawa Senators
5,Henrik Lundqvist,G,New York Rangers
6,Evgeni Malkin,C,Pittsburgh Penguins
7,Patrice Bergeron,C,Boston Bruins
8,Steven Stamkos,C,Tampa Bay Lightning
9,Patrick Kane,RW,Chicago Blackhawks
10,Duncan Keith,D,Chicago Blackhawks
11,Pavel Datsyuk,C,Detroit Red Wings
12,Victor Hedman,D,Tampa Bay Lightning
13,Anze Kopitar,C,Los Angeles Kings
14,Nikita Kucherov,RW,Tampa Bay Lightning
15,Jonathan Toews,C,Chicago Blackhawks
16,Mark Giordano,D,Calgary Flames
17,Drew Doughty,D,Los Angeles Kings
18,Claude Giroux,C,Philadelphia Flyers
19,Brent Burns,D,San Jose Sharks
20,Joe Pavelski,C,San Jose Sharks
21,Sergei Bobrovsky,G,Columbus Blue Jackets
22,Nicklas Backstrom,C,Washington Capitals
23,Kris Letang,D,Pittsburgh Penguins
24,Zdeno Chara,D,Boston Bruins
25,Vladimir Tarasenko,RW,St. Louis Blues
26,Carey Price,G,Montreal Canadiens
27,Brad Marchand,LW,Boston Bruins
28,Braden Holtby,G,Washington Capitals
29,John Tavares,C,New York Islanders
30,P.K. Subban,D,Nashville Predators
31,Jamie Benn,LW,Dallas Stars
32,Taylor Hall,LW,New Jersey Devils
33,Martin St. Louis,RW,Tampa Bay Lightning
34,Jonathan Quick,G,Los Angeles Kings
35,Ryan Getzlaf,C,Anaheim Ducks
36,Corey Perry,RW,Anaheim Ducks
37,Joe Thornton,C,San Jose Sharks
38,Phil Kessel,RW,Pittsburgh Penguins
39,Mark Stone,RW,Ottawa Senators
40,Nathan MacKinnon,C,Colorado Avalanche
41,John Carlson,D,Washington Capitals
42,Marc-Andre Fleury,G,Vegas Golden Knights
43,Tyler Seguin,C,Dallas Stars
44,David Pastrnak,RW,Boston Bruins
45,Auston Matthews,C,Toronto Maple Leafs
46,Ryan Suter,D,Minnesota Wild
47,Pekka Rinne,G,Nashville Predators
48,Shea Weber,D,Montreal Canadiens
49,Jack Eichel,C,Buffalo Sabres
50,Tuukka Rask,G,Boston Bruins
51,Johnny Gaudreau,LW,Calgary Flames
52,Roberto Luongo,G,Florida Panthers
53,Henrik Sedin,C,Vancouver Canucks
54,Daniel Sedin,LW,Vancouver Canucks
55,Matt Duchene,C,Colorado Avalanche
56,Ryan O'Reilly,C,St. Louis Blues
57,Henrik Zetterberg,C,Detroit Red Wings
58,Aleksander Barkov,C,Florida Panthers
59,Tim Thomas,G,Boston Bruins
60,Marc-Edouard Vlasic,D,San Jose Sharks
61,Alex Pietrangelo,D,St. Louis Blues
62,Blake Wheeler,RW,Winnipeg Jets
63,Roman Josi,D,Nashville Predators
64,Artemi Panarin,LW,Columbus Blue Jackets
65,Eric Staal,C,Minnesota Wild
66,Leon Draisaitl,LW,Edmonton Oilers
67,Marian Hossa,RW,Chicago Blackhawks
68,Frederik Andersen,G,Toronto Maple Leafs
69,Jakub Voracek,RW,Philadelphia Flyers
70,Jarome Iginla,RW,Calgary Flames
71,Logan Couture,C,San Jose Sharks
72,Filip Forsberg,LW,Nashville Predators
73,Ben Bishop,G,Dallas Stars
74,David Krejci,C,Boston Bruins
75,Max Pacioretty,LW,Montreal Canadiens
76,Ryan Ellis,D,Nashville Predators
77,Keith Yandle,D,Florida Panthers
78,Corey Crawford,G,Chicago Blackhawks
79,Gabriel Landeskog,LW,Colorado Avalanche
80,Dustin Byfuglien,D,Winnipeg Jets
81,Patrick Marleau,LW,San Jose Sharks
82,Zach Parise,LW,Minnesota Wild
83,Rick Nash,LW,New York Rangers
84,Oliver Ekman-Larsson,D,Arizona Coyotes
85,Jeff Carter,C,Los Angeles Kings
86,Marian Gaborik,RW,New York Rangers
87,Andrei Vasilevskiy,G,Tampa Bay Lightning
88,Ilya Kovalchuk,LW,New Jersey Devils
89,Mikko Koivu,C,Minnesota Wild
90,Ryan McDonagh,D,New York Rangers
91,T.J. Oshie,RW,Washington Capitals
92,Mark Scheifele,C,Winnipeg Jets
93,Mitch Marner,RW,Toronto Maple Leafs
94,Mikko Rantanen,RW,Colorado Avalanche
95,John Gibson,G,Anaheim Ducks
96,Thomas Vanek,LW,Buffalo Sabres
97,Justin Williams,RW,Carolina Hurricanes
98,Jaromir Jagr,RW,Florida Panthers
99,Torey Krug,D,Boston Bruins
100,Alexander Semin,RW,Washington Capitals
